algoritmo,tipo_caso,n,tiempo_medio,tiempo_mediana,tiempo_std,tiempo_min,tiempo_max,operaciones_moda,memoria_media
monte_carlo,promedio,16,6.483999750343968e-05,5.219999729888514e-05,5.161184960615596e-05,2.609999501146376e-05,0.000153599998157,113,3.9890625
monte_carlo,promedio,17,0.0001234399998792964,0.0001264000020455,6.640514083784894e-05,2.859999949578196e-05,0.0002160999938496,126,4.0109375
monte_carlo,promedio,18,7.420000183626915e-05,4.520000220509246e-05,7.480748717432275e-05,2.890000178012997e-05,0.0002059000034932,132,4.0484375
monte_carlo,promedio,19,4.884000081801787e-05,4.650000482797623e-05,1.536775810518797e-05,3.229999856557697e-05,7.360000017797574e-05,135,6.0609375
monte_carlo,promedio,20,0.00014198000280881684,0.0001292000015382,7.51839549715203e-05,7.60000039008446e-05,0.0002587000053608,158,5.9375
monte_carlo,promedio,21,0.00013956000038886795,7.859999459469691e-05,0.00014877379977264624,3.4699995012488216e-05,0.0004007000025012,210,5.953125
monte_carlo,promedio,22,0.0001418600018950852,9.359999967273323e-05,0.0001045399109913368,5.490000330610201e-05,0.0002966000029118,210,5.953125
monte_carlo,promedio,23,8.554000087313545e-05,8.130000060191378e-05,5.331016068340552e-05,3.619999915827066e-05,0.0001640000045881,242,5.96875
monte_carlo,promedio,24,9.01999985217002e-05,6.0699996538460255e-05,6.9677469686781e-05,3.730000025825575e-05,0.0002114999952027,262,5.975
monte_carlo,promedio,25,8.29599986900465e-05,6.289999873843044e-05,6.496524489907605e-05,3.759999526664615e-05,0.0001947999990079,282,6.003125
monte_carlo,promedio,26,0.00010048000258390053,0.0001090000005206,1.4854530306614624e-05,7.729999924777076e-05,0.0001116000057663,315,6.003125
prog_dinamica,mejor,4,3.623999946285039e-05,3.480000304989517e-05,3.503283953388575e-06,3.279999509686604e-05,4.120000085094944e-05,96,1.625
prog_dinamica,mejor,5,7.938000053400173e-05,7.890000415500253e-05,1.4889584893091824e-06,7.79999973019585e-05,8.179999713320285e-05,320,3.390625
prog_dinamica,mejor,6,0.00021059999708082002,0.0002007000002777,2.2497776010617068e-05,0.0001973999969777,0.0002504999938537,960,10.3046875
prog_dinamica,mejor,7,0.00059825999924208,0.0005144999959156,0.00011797390617889682,0.0005105000018374,0.000748399994336,2688,26.3607421875
prog_dinamica,mejor,8,0.00161754000146166,0.0015361999976448,0.00025143782104597917,0.0013122000018483,0.0019733000008272,7168,60.5078125
